09/18/2018 07:35:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:35:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:35:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:35:50 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/29/2018 10:29:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=1)
09/29/2018 10:29:31 AM Error has occured: CompletedProcess(args='python deep_thought_helper.py', returncode=1)
09/29/2018 10:29:53 AM CompletedProcess(args='python deep_thought_helper.py', returncode=1)
09/29/2018 10:29:53 AM Error has occured: CompletedProcess(args='python deep_thought_helper.py', returncode=1)
09/29/2018 10:30:19 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:22 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:26 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:35 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:39 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:42 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:44 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:48 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:50 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:54 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:30:56 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:00 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:04 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:09 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:14 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:20 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:25 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:29 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:36 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:41 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:45 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:50 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:54 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:57 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:31:59 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:04 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:06 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:13 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:15 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:18 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:21 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:28 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:32 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:35 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:38 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:43 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:46 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:49 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:52 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:55 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:32:57 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:00 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:05 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:08 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:11 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:16 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:20 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:23 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:26 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:29 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:32 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:36 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:40 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:44 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:49 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:54 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:33:58 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:03 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:05 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:08 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:14 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:19 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:21 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:23 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:28 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
