10/23/2018 09:06:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:50 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:53 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:56 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:59 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:06 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:07 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:10 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:13 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:19 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:22 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:24 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:26 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:29 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:33 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:42 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:45 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:51 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:53 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:56 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:08:00 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:08:03 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:08:05 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:11 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:19 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:23 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:36 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:40 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:44 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:45 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:55 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:56 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:09:59 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:00 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:04 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:07 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:11 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:13 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:18 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:19 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:22 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:24 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:26 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:28 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:31 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:33 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:34 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
